title,company,location,field,education_level,salary_min,salary_max,salary_currency,job_type,deadline,url,source,scraped_at
Aquaculture Technician,Pannasastra University,Kampot,Agriculture,Bachelor,550,800,USD,Part-time,2026-04-25,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170419
Compliance Manager,ABA Bank,Battambang,Legal,Master,1200,2800,USD,Full-time,2026-04-11,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170427
Trade Marketing Officer,FedEx Cambodia,Phnom Penh,Marketing / Sales,Bachelor,650,1150,USD,Full-time,2026-06-20,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170436
Soil Scientist,Canadia Bank,Takeo,Agriculture,Master,1000,1800,USD,Full-time,2026-05-17,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170444
Office Manager,Nham24,Siem Reap,HR / Admin,Bachelor,600,1250,USD,Contract,2026-03-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170453
Agribusiness Officer,Zaman University,Phnom Penh,Agriculture,Bachelor,800,1550,USD,Full-time,2026-06-24,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170461
Bank Teller,Institute of Technology of Cambodia,Remote,Finance / Banking,College,250,570,USD,Full-time,2026-06-06,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170470
QC Inspector,Hagar International,Phnom Penh,Manufacturing,Bachelor,500,1050,USD,Full-time,2026-03-05,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170480
Marketing Director,Honda Cambodia,Battambang,Marketing / Sales,Master,1950,4150,USD,Full-time,2026-05-01,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170488
Key Account Manager,Habitat for Humanity,Phnom Penh,Marketing / Sales,Bachelor,1000,1800,USD,Contract,2026-06-04,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170497
Sales Manager,Deloitte Cambodia,Kampot,Marketing / Sales,Master,1100,2450,USD,Part-time,2026-04-26,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170505
Medical Officer,World Vision,Phnom Penh,Healthcare,Master,1250,2600,USD,Full-time,2026-04-28,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170514
Compliance Manager,Doctors Without Borders,Kampong Cham,Legal,Master,1150,2450,USD,Full-time,2026-03-26,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170522
Mental Health Counselor,ING Cambodia,Sihanoukville,Healthcare,Master,750,1450,USD,Full-time,2026-03-08,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170530
Chief Accountant,World Vision,Takeo,Finance / Banking,Master,1300,2450,USD,Full-time,2026-03-10,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170543
Compliance Manager,Footprints International School,Kampot,Legal,Master,1200,2450,USD,Full-time,2026-05-11,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170552
Aquaculture Technician,GIZ Cambodia,Prey Veng,Agriculture,Bachelor,450,950,USD,Contract,2026-05-21,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170561
Agronomist,Nham24,Kampong Cham,Agriculture,Bachelor,700,1000,USD,Part-time,2026-04-03,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170571
Supply Chain Officer,Angkor Hospital,Prey Veng,Manufacturing,Bachelor,750,1450,USD,Part-time,2026-04-06,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170579
E-learning Developer,Smart Axiata,Kandal,Education,Bachelor,500,1350,USD,Full-time,2026-05-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170588
Science Teacher,Honda Cambodia,Phnom Penh,Education,Bachelor,300,800,USD,Full-time,2026-03-19,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170596
Nutritionist,Pi Pay,Phnom Penh,Healthcare,Bachelor,550,1250,USD,Part-time,2026-04-06,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170605
Legal Officer,Ernst & Young,Kampong Cham,Legal,Bachelor,600,1550,USD,Full-time,2026-05-15,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170613
Sales Executive,Prudential Cambodia,Phnom Penh,Marketing / Sales,College,500,750,USD,Full-time,2026-04-22,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170623
Web Developer,Sathapana Bank,Kandal,IT / Technology,Bachelor,500,1400,USD,Full-time,2026-03-22,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170631
Operations Manager,Prasac MFI,Kampot,Manufacturing,Master,1300,2550,USD,Full-time,2026-06-12,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170640
Site Engineer,Hagar International,Kampong Cham,Engineering,Bachelor,700,1450,USD,Full-time,2026-05-15,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170648
Soil Scientist,WaterSHED,Siem Reap,Agriculture,Master,950,2000,USD,Part-time,2026-05-05,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170656
MEP Engineer,Habitat for Humanity,Kampong Cham,Engineering,Bachelor,1000,1800,USD,Full-time,2026-05-10,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170665
Program Officer,Vision Fund,Siem Reap,NGO / Development,Bachelor,900,1650,USD,Full-time,2026-06-10,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170674
Construction Project Manager,WHO Cambodia,Siem Reap,Engineering,Master,1400,3300,USD,Full-time,2026-06-20,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170683
Maintenance Technician,Build Bright University,Phnom Penh,Manufacturing,College,500,950,USD,Full-time,2026-03-07,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170691
HR Business Partner,Manulife Cambodia,Remote,HR / Admin,Master,1000,1800,USD,Part-time,2026-05-08,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170700
Branch Manager,Smart Axiata,Phnom Penh,Finance / Banking,Master,1550,3150,USD,Full-time,2026-04-07,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170709
Plant Manager,British Council,Phnom Penh,Manufacturing,Master,1950,4200,USD,Full-time,2026-05-05,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170717
Epidemiologist,Camboplus MFI,Sihanoukville,Healthcare,Master,1100,2550,USD,Full-time,2026-05-17,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170726
Mental Health Counselor,UNICEF Cambodia,Phnom Penh,Healthcare,Master,800,1800,USD,Full-time,2026-06-03,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170735
QA Engineer,BELTEI,Kampot,IT / Technology,Bachelor,500,1200,USD,Full-time,2026-04-05,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170744
Financial Controller,Pi Pay,Takeo,Finance / Banking,Master,1550,3300,USD,Part-time,2026-05-13,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170752
Copywriter,JICA Cambodia,Phnom Penh,Marketing / Sales,Bachelor,400,700,USD,Full-time,2026-03-28,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170761
Finance and Admin Officer,Norton University,Phnom Penh,NGO / Development,Bachelor,650,900,USD,Full-time,2026-05-01,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170770
Agronomist,Hattha Bank,Remote,Agriculture,Bachelor,650,1250,USD,Contract,2026-05-27,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170778
Relationship Manager,Helen Keller Intl,Kampot,Finance / Banking,Bachelor,750,1750,USD,Full-time,2026-03-26,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170793
Partnership Officer,Prince Bank,Phnom Penh,NGO / Development,Master,1050,1950,USD,Full-time,2026-03-09,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170807
M&E Officer,Save the Children,Siem Reap,NGO / Development,Bachelor,900,1450,USD,Contract,2026-04-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170822
Spa Therapist,Phnom Penh SEZ,Phnom Penh,Hospitality,College,400,1000,USD,Full-time,2026-05-04,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170834
Food & Beverage Manager,DAI Global,Phnom Penh,Hospitality,Bachelor,1000,1650,USD,Full-time,2026-06-15,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170843
Finance Officer,WHO Cambodia,Takeo,Finance / Banking,Bachelor,500,900,USD,Full-time,2026-03-24,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170852
In-house Counsel,Ernst & Young,Kandal,Legal,Master,1400,3450,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170860
Soil Scientist,Vattanac Properties,Phnom Penh,Agriculture,Master,800,2000,USD,Full-time,2026-05-20,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170869
Mental Health Counselor,DHL Cambodia,Phnom Penh,Healthcare,Master,750,1600,USD,Contract,2026-03-03,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170877
Paralegal,FPT Software,Phnom Penh,Legal,Bachelor,700,1100,USD,Full-time,2026-06-09,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170887
Logistics Officer,KPMG Cambodia,Kandal,NGO / Development,College,600,900,USD,Full-time,2026-04-13,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170896
SEO Specialist,Metfone,Phnom Penh,Marketing / Sales,Bachelor,500,1050,USD,Full-time,2026-06-17,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170905
Civil Engineer,TPC MFI,Kandal,Engineering,Bachelor,800,1650,USD,Part-time,2026-04-24,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170913
Secretary,British Council,Siem Reap,HR / Admin,Bachelor,450,600,USD,Contract,2026-05-17,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170923
Credit Risk Manager,Pi Pay,Remote,Finance / Banking,Master,1100,2800,USD,Contract,2026-03-11,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170931
Educational Consultant,Konvergence,Kampot,Education,Master,1050,2050,USD,Full-time,2026-04-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170940
HR Director,Prudential Cambodia,Siem Reap,HR / Admin,Master,1550,3200,USD,Contract,2026-06-17,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170948
Project Manager,LYP Group,Phnom Penh,NGO / Development,Master,1000,2200,USD,Part-time,2026-05-22,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170958
Sous Chef,Sofitel Phnom Penh,Kandal,Hospitality,College,500,1350,USD,Full-time,2026-04-27,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170972
HRIS Specialist,FPT Software,Siem Reap,HR / Admin,Bachelor,800,1450,USD,Contract,2026-03-05,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170987
Secretary,AMK Microfinance,Kampong Cham,HR / Admin,Bachelor,450,700,USD,Full-time,2026-05-19,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171001
Treasury Analyst,Baker McKenzie,Takeo,Finance / Banking,Master,1000,1950,USD,Full-time,2026-06-24,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171010
Legal Assistant,Prudential Cambodia,Battambang,Legal,Bachelor,550,1100,USD,Part-time,2026-03-13,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171025
Community Outreach Officer,AMK Microfinance,Kampong Cham,NGO / Development,Bachelor,700,1100,USD,Full-time,2026-05-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171039
Loan Officer,Royal University of Phnom Penh,Battambang,Finance / Banking,Bachelor,450,900,USD,Full-time,2026-03-01,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171055
Chief Engineer,Pannasastra University,Phnom Penh,Engineering,Master,1950,4200,USD,Full-time,2026-05-23,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171074
Growth Hacker,TG International School,Phnom Penh,Marketing / Sales,Bachelor,650,1450,USD,Contract,2026-05-27,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171083
Civil Engineer,KPMG Cambodia,Takeo,Engineering,Bachelor,800,1550,USD,Full-time,2026-06-25,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171092
Urban Planner,ABA Bank,Kandal,Engineering,Master,950,2100,USD,Full-time,2026-06-12,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171101
Chief Engineer,AMK Microfinance,Phnom Penh,Engineering,Master,2000,4300,USD,Part-time,2026-06-22,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171110
Pediatrician,Pi Pay,Siem Reap,Healthcare,Master,1900,4150,USD,Full-time,2026-05-02,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171119
IT Trainer,DAI Global,Phnom Penh,Education,Bachelor,500,800,USD,Full-time,2026-05-02,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171128
Compensation Manager,Doctors Without Borders,Phnom Penh,HR / Admin,Master,1000,2050,USD,Contract,2026-03-13,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171138
Pediatrician,Nham24,Phnom Penh,Healthcare,Master,1900,4150,USD,Part-time,2026-06-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171146
Agricultural Project Manager,Decathlon Cambodia,Remote,Agriculture,Master,1100,1950,USD,Full-time,2026-03-02,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171167
Field Coordinator,FedEx Cambodia,Takeo,NGO / Development,Bachelor,650,1550,USD,Part-time,2026-05-04,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171179
CMO,MSI Surveys,Kampong Cham,Marketing / Sales,Master,2400,5400,USD,Contract,2026-03-05,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171188
Executive Chef,Prasac MFI,Remote,Hospitality,Bachelor,950,1650,USD,Full-time,2026-03-18,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171197
Talent Acquisition Specialist,KPMG Cambodia,Prey Veng,HR / Admin,Bachelor,500,1000,USD,Full-time,2026-03-15,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171205
Nutritionist,EZECOM,Phnom Penh,Healthcare,Bachelor,700,1000,USD,Contract,2026-04-10,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171214
Agribusiness Officer,British Council,Siem Reap,Agriculture,Bachelor,600,1200,USD,Full-time,2026-05-19,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171223
Design Engineer,Toyota Cambodia,Phnom Penh,Engineering,Master,850,1750,USD,Full-time,2026-05-01,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171232
In-house Counsel,Park Hyatt Siem Reap,Phnom Penh,Legal,Master,1600,3500,USD,Full-time,2026-05-25,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171241
IT Infrastructure Manager,Konvergence,Siem Reap,IT / Technology,Master,1300,2500,USD,Full-time,2026-03-08,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171250
Korean Language Teacher,Northbridge International School,Kampot,Education,Bachelor,400,800,USD,Full-time,2026-05-16,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171259
Epidemiologist,Angkor Hospital,Phnom Penh,Healthcare,Master,1150,2550,USD,Full-time,2026-06-09,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171268
BIM Specialist,ABA Bank,Siem Reap,Engineering,Bachelor,850,1900,USD,Contract,2026-06-08,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171296
Plant Manager,ING Cambodia,Kampong Cham,Manufacturing,Master,2000,4300,USD,Full-time,2026-05-14,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171309
Advocacy Officer,UNDP Cambodia,Takeo,NGO / Development,Master,1100,2200,USD,Full-time,2026-04-20,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171318
Maintenance Technician,FedEx Cambodia,Kandal,Manufacturing,College,300,950,USD,Contract,2026-06-02,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171327
Regulatory Affairs Officer,Institute of Technology of Cambodia,Battambang,Legal,Bachelor,900,1700,USD,Full-time,2026-04-04,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171336
Inventory Controller,Cogetel,Phnom Penh,Manufacturing,Bachelor,500,950,USD,Contract,2026-04-12,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171344
Compliance Manager,Plan International,Remote,Legal,Master,1150,2800,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171353
Warehouse Manager,Doctors Without Borders,Remote,Manufacturing,Bachelor,700,1450,USD,Full-time,2026-06-14,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171361
IT Support Specialist,Baker McKenzie,Siem Reap,IT / Technology,College,350,600,USD,Full-time,2026-05-09,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171369
Child Protection Officer,USAID Cambodia,Prey Veng,NGO / Development,Master,1000,1800,USD,Full-time,2026-03-06,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171378
WASH Engineer,UNICEF Cambodia,Prey Veng,NGO / Development,Bachelor,950,1650,USD,Full-time,2026-03-06,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171387
HR Business Partner,Landell Mills,Kampot,HR / Admin,Master,900,2000,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171396
Site Engineer,TPC MFI,Siem Reap,Engineering,Bachelor,650,1450,USD,Part-time,2026-03-25,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171405
PR Manager,KPMG Cambodia,Prey Veng,Marketing / Sales,Master,1050,2050,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171414
Network Engineer,Prudential Cambodia,Phnom Penh,IT / Technology,Bachelor,600,1600,USD,Full-time,2026-03-25,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171422
Growth Hacker,Plan International,Siem Reap,Marketing / Sales,Bachelor,700,1250,USD,Full-time,2026-03-21,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171431
Country Director,Camboplus MFI,Battambang,NGO / Development,Master,3100,6400,USD,Contract,2026-04-07,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171439
In-house Counsel,Hattha Bank,Takeo,Legal,Master,1550,3700,USD,Full-time,2026-05-09,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171448
Food & Beverage Manager,Pannasastra University,Phnom Penh,Hospitality,Bachelor,850,1800,USD,Contract,2026-06-19,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171456
Spa Therapist,MSI Surveys,Sihanoukville,Hospitality,College,300,750,USD,Contract,2026-06-08,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171464
Logistics Coordinator,IFL University,Prey Veng,Manufacturing,Bachelor,550,1350,USD,Contract,2026-03-14,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171473
Legal Officer,BELTEI,Phnom Penh,Legal,Bachelor,650,1300,USD,Full-time,2026-03-27,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171486
Sales Executive,Sen Sok International,Phnom Penh,Marketing / Sales,College,450,600,USD,Full-time,2026-03-03,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171495
Forestry Officer,Paragon International,Remote,Agriculture,Bachelor,600,1150,USD,Full-time,2026-05-16,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171503
Educational Consultant,Habitat for Humanity,Sihanoukville,Education,Master,1000,1950,USD,Contract,2026-03-02,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171512
Field Officer,OCIC,Siem Reap,Agriculture,Bachelor,550,1150,USD,Contract,2026-04-27,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171521
Production Planner,LYP Group,Phnom Penh,Manufacturing,Bachelor,700,1000,USD,Part-time,2026-06-08,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171529
Chief Medical Officer,Chemonics,Phnom Penh,Healthcare,PhD,3050,6050,USD,Full-time,2026-04-25,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171543
Pharmacist,TG International School,Sihanoukville,Healthcare,Bachelor,800,1550,USD,Full-time,2026-05-13,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171552
Tour Guide,FPT Software,Phnom Penh,Hospitality,Bachelor,450,650,USD,Full-time,2026-05-13,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171560
Food & Beverage Manager,GCGC,Sihanoukville,Hospitality,Bachelor,800,1900,USD,Full-time,2026-03-02,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171569
Corporate Lawyer,Anantara Angkor,Kandal,Legal,Master,1450,3350,USD,Part-time,2026-03-23,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171579
PR Manager,FPT Software,Sihanoukville,Marketing / Sales,Master,900,2300,USD,Contract,2026-05-12,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171587
Construction Project Manager,Zaman University,Phnom Penh,Engineering,Master,1600,3150,USD,Contract,2026-06-23,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171596
Structural Engineer,Canadia Bank,Phnom Penh,Engineering,Master,1200,2600,USD,Full-time,2026-05-08,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171605
Guest Relations Officer,Decathlon Cambodia,Phnom Penh,Hospitality,Bachelor,400,1100,USD,Full-time,2026-03-06,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171613
Soil Scientist,Wing Bank,Kampong Cham,Agriculture,Master,950,1650,USD,Part-time,2026-03-03,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171622
Mechanical Engineer,Doctors Without Borders,Phnom Penh,Engineering,Bachelor,750,1400,USD,Full-time,2026-04-09,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171630
Lab Technician,AMK Microfinance,Remote,Healthcare,College,450,950,USD,Contract,2026-04-14,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171639
Guest Relations Officer,Sabay Digital,Phnom Penh,Hospitality,Bachelor,400,1100,USD,Full-time,2026-03-23,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171648
Livestock Specialist,Pannasastra University,Phnom Penh,Agriculture,Bachelor,550,1000,USD,Contract,2026-06-09,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171661
Plant Manager,iDE Cambodia,Siem Reap,Manufacturing,Master,2000,4050,USD,Full-time,2026-03-21,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171670
Concierge,Habitat for Humanity,Battambang,Hospitality,College,300,650,USD,Contract,2026-04-03,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171678
Field Officer,DHL Cambodia,Phnom Penh,Agriculture,Bachelor,600,950,USD,Contract,2026-03-05,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171687
Aquaculture Technician,Habitat for Humanity,Siem Reap,Agriculture,Bachelor,600,900,USD,Full-time,2026-06-25,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171695
Math Lecturer,Build Bright University,Battambang,Education,Bachelor,500,900,USD,Contract,2026-03-27,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171704
Factory Manager,LYP Group,Phnom Penh,Manufacturing,Master,1450,3300,USD,Full-time,2026-06-03,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171712
Digital Marketing Officer,RTI International,Prey Veng,Marketing / Sales,Bachelor,500,1050,USD,Full-time,2026-06-26,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171721
Concierge,World Bank Cambodia,Phnom Penh,Hospitality,College,350,750,USD,Full-time,2026-05-08,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171730
HR Business Partner,Konvergence,Battambang,HR / Admin,Master,800,1650,USD,Part-time,2026-04-20,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171739
Front Desk Officer,BookMeBus,Phnom Penh,Hospitality,Bachelor,450,1000,USD,Part-time,2026-03-14,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171748
Trade Finance Officer,Sathapana Bank,Phnom Penh,Finance / Banking,Bachelor,800,1350,USD,Part-time,2026-06-27,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171764
EHS Officer,Honda Cambodia,Remote,Manufacturing,Bachelor,500,1150,USD,Contract,2026-06-21,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171773
IT Trainer,Save the Children,Kampong Cham,Education,Bachelor,400,1150,USD,Full-time,2026-04-07,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171784
IT Security Officer,Paragon International,Kampot,IT / Technology,Bachelor,850,1450,USD,Full-time,2026-03-26,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171793
Barista,PwC Cambodia,Phnom Penh,Hospitality,College,350,730,USD,Full-time,2026-03-28,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.171803
Contract Specialist,Forte Insurance,Phnom Penh,Legal,Bachelor,800,1800,USD,Full-time,2026-04-11,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171811
Marketing Director,IFL University,Siem Reap,Marketing / Sales,Master,2050,4150,USD,Contract,2026-04-16,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.171822
Operations Manager,Deloitte Cambodia,Remote,Manufacturing,Master,1300,2800,USD,Part-time,2026-06-15,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.171830
Regulatory Affairs Officer,FPT Software,Phnom Penh,Legal,Bachelor,850,1700,USD,Full-time,2026-03-04,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171839
Contract Specialist,Chip Mong Group,Battambang,Legal,Bachelor,950,1800,USD,Full-time,2026-03-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171848
Protection Officer,iDE Cambodia,Sihanoukville,NGO / Development,Bachelor,800,1700,USD,Full-time,2026-05-13,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.171856
People & Culture Manager,MSI Surveys,Takeo,HR / Admin,Master,1300,2600,USD,Full-time,2026-03-10,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.171865
